Hercher/Diophantine collision comparison, m=92..200
Source: research/sources/hercher-2023-no-collatz-m-cycles-jis-published.full.md, Corollary 24 Table 1, lines 1188-1212
H(m) is the exact Hercher lower bound on K (odd members), not x_min.
Float columns are numerical evidence; c_0 is symbolic in the formula.

m | H(m)=H_K(m) exact | source line | log10(threshold) symbolic | log10(threshold), c0=1 | deficit
----------------------------------------------------------------------------------------------------------------------------------
 92 | 77600000000000000000 |        1190 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  17.237942636174 | -2.651919085084
 93 | 77600000000000000000 |        1190 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  17.278395800506 | -2.611465920753
 94 | 77600000000000000000 |        1190 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  17.318416302380 | -2.571445418878
 95 | 77600000000000000000 |        1190 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  17.358013298934 | -2.531848422325
 96 | 77600000000000000000 |        1190 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  17.397195659634 | -2.492666061624
 97 | 77600000000000000000 |        1190 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  17.435971978203 | -2.453889743055
 98 | 77600000000000000000 |        1190 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  17.474350583931 | -2.415511137327
 99 | 27400000000000000000 |        1192 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  17.512339552417 | -1.925411010403
100 | 27400000000000000000 |        1192 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  17.549946715765 | -1.887803847056
101 | 27400000000000000000 |        1192 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  17.587179672276 | -1.850570890544
102 | 27400000000000000000 |        1192 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  17.624045795665 | -1.813704767155
103 | 27400000000000000000 |        1192 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  17.660552243825 | -1.777198318996
104 | 27400000000000000000 |        1192 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  17.696705967163 | -1.741044595657
105 | 27400000000000000000 |        1192 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  17.732513716551 | -1.705236846269
106 | 27400000000000000000 |        1192 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  17.767982050886 | -1.669768511934
107 | 27400000000000000000 |        1192 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  17.803117344301 | -1.634633218520
108 | 27400000000000000000 |        1192 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  17.837925793040 | -1.599824769780
109 | 27400000000000000000 |        1192 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  17.872413422021 | -1.565337140799
110 | 27400000000000000000 |        1192 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  17.906586091088 | -1.531164471732
111 | 27400000000000000000 |        1192 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  17.940449500991 | -1.497301061830
112 | 27400000000000000000 |        1192 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  17.974009199091 | -1.463741363729
113 | 27400000000000000000 |        1192 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.007270584818 | -1.430479978002
114 | 27400000000000000000 |        1192 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.040238914880 | -1.397511647941
115 | 27400000000000000000 |        1192 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.072919308252 | -1.364831254569
116 | 27400000000000000000 |        1192 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.105316750944 | -1.332433811876
117 | 27400000000000000000 |        1192 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.137436100570 | -1.300314462251
118 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.169282090714 | -0.500963762360
119 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.200859335123 | -0.469386517951
120 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.232172331711 | -0.438073521363
121 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.263225466411 | -0.407020386663
122 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.294023016858 | -0.376222836216
123 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.324569155927 | -0.345676697147
124 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.354867955123 | -0.315377897952
125 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.384923387842 | -0.285322465232
126 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.414739332498 | -0.255506520576
127 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.444319575521 | -0.225926277553
128 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.473667814251 | -0.196578038823
129 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.502787659703 | -0.167458193371
