0 1 2 3
0 1 4 5
0 2 4 6
0 3 5 8
0 6 7 8
0 7 9 11
0 9 10 12
0 10 11 14
0 12 13 14
0 13 15 16
0 15 17 18
0 16 20 21
0 17 19 21
0 18 19 20
1 2 4 8
1 3 5 6
1 6 7 14
1 7 8 9
1 9 10 11
1 10 12 13
1 11 16 21
1 12 15 19
1 13 15 17
1 14 16 18
1 17 18 20
1 19 20 21
2 3 9 20
2 5 11 15
2 5 13 18
2 6 12 16
2 7 12 17
2 7 18 19
2 8 11 21
2 9 15 19
2 10 14 21
2 10 17 20
2 13 14 16
3 4 10 18
3 4 12 17
3 6 10 15
3 7 14 21
3 7 15 16
3 8 13 20
3 9 13 19
3 11 14 19
3 11 16 17
3 12 18 21
4 5 16 19
4 6 11 17
4 7 12 19
4 7 16 20
4 8 14 15
4 9 13 21
4 9 14 18
4 10 15 21
4 11 13 20
5 6 17 21
5 7 10 20
5 7 13 21
5 8 10 19
5 9 12 16
5 9 14 17
5 11 12 18
5 14 15 20
6 8 13 18
6 9 15 20
6 9 18 21
6 10 16 19
6 11 13 19
6 12 14 20
7 10 13 17
7 11 15 18
8 9 16 17
8 10 16 18
8 11 12 20
8 12 15 21
8 14 17 19
