witness check: all 12 witness x-values admit the claimed solution at x, verified exactly

sweep done: 215 solutions, 0.1s
r     k   n         prime  x        excess  y          z
1     3    2521      P     636       6       69748      131876031
1     4    3361      P     841       1       942210     91836266490
1     5    4201      P     1053      3       402246     1689835446
1     7    5881      P     1473      3       787564     13894991652
1     9    7561      P     1895      5       754210     5702581810
1     11   9241      P     2312      2       3052180    958976642920
1     15   12601     P     3151      1       13235258   22848515589946
1     16   13441     P     3362      2       6455532    3557521030092
1     17   14281     P     3572      2       7287393    19565396773404
1     18   15121     P     3782      2       8169669    7659081026838
1     22   18481     P     4625      5       4504750    3330091390
1     24   20161     P     5041      1       33877224   48492908627544
1     25   21001     P     5251      1       36758770   68705412660530
1     26   21841     P     5463      3       10847090   2132201634210
1     31   26041     P     6511      1       56517656   563690315200168
1     32   26881     P     6721      1       60222404   989110288015564
1     35   29401     P     7353      3       19653236   98808039369756
121   2    1801      P     451       1       270754     19992746114
121   8    6841      P     1711      1       3901660    1574784107540
121   9    7681      P     1921      1       4918406    4268945242918
121   10   8521      P     2132      2       2595255    3626723528220
121   15   12721     P     3185      5       2132442    6646064697090
121   17   14401     P     3605      5       2732590    39352028590
121   18   15241     P     3813      3       5283096    2496109650216
121   20   16921     P     4233      3       6511510    27435133916790
121   21   17761     P     4443      3       7173964    382250323812
121   23   19441     P     4862      2       13503165   98180621506110
121   25   21121     P     5282      2       15937314   23394534625083
121   26   21961     P     5491      1       40195956   285126114878268
121   29   24481     P     6123      3       13627016   157127002965816
121   30   25321     P     6333      3       14578566   369143869686
121   31   26161     P     6546      6       7446075    129864512050
169   1    1009      P     253       1       85096      1974822872
169   3    2689      P     676       4       121186     8472598004
169   4    3529      P     884       2       445666     53473680676
169   6    5209      P     1305      3       617990     28971989190
169   17   14449     P     3614      2       7459816    14982376512376
169   18   15289     P     3825      3       5316410    3657716662050
169   23   19489     P     4873      1       31656636   273311587298772
169   25   21169     P     5300      8       3619899    19185464700
169   28   23689     P     5925      3       12759764   22669953704700
169   31   26209     P     6555      3       15618190   28244262777990
169   34   28729     P     7183      1       68786806   1290443025671822
169   35   29569     P     7395      3       19878440   51137346535320
289   1    1129      P     285       3       29260      99103620
289   10   8689      P     2173      1       6293746    2898377026682
289   12   10369     P     2595      3       2446220    76094565540
289   14   12049     P     3013      1       12101220   19100795571180
289   15   12889     P     3223      1       13847086   52293201796022
289   16   13729     P     3434      2       6735060    9339029512740
289   19   16249     P     4063      1       22006568   85462748900248
289   21   17929     P     4484      2       11484816   12148764697776
289   23   19609     P     4905      3       8743980    514382111460
289   26   22129     P     5533      1       40813256   454287740638072
361   1    1201      P     306       6       15980      172727820
361   5    4561      P     1143      3       473964     6485249412
361   10   8761      P     2193      3       1746660    86714100140
361   11   9601      P     2405      5       1216930    898749610
361   23   19681     P     4923      3       8812170    19270257530
361   24   20521     P     5133      3       9585022    10001401854
361   27   23041     P     5763      3       12071394   31429479774402
361   30   25561     P     6391      1       54453454   808685032600214
361   32   27241     P     6812      2       26509392   94600647518832
361   33   28081     P     7021      1       65718906   762171923546418
361   34   28921     P     7236      6       9098801    28419813761868
361   35   29761     P     7442      2       31640212   57440305309252
529   3    3049      P     765       3       212058     3232824210
529   4    3889      P     975       3       344708     100542705900
529   5    4729      P     1185      3       509550     2409661950
529   6    5569      P     1394      2       1109029    506446965082
529   9    8089      P     2023      1       5454688    5250633576608
529   10   8929      P     2233      1       6646156    12046735965572
529   11   9769      P     2444      2       3410784    1566037598112
529   14   12289     P     3075      3       3435390    211087538550
529   18   15649     P     3914      2       8750032    14103712829104
529   21   18169     P     4543      1       27513926   206458915377022
529   22   19009     P     4756      4       6027123    13290071408412
529   25   21529     P     5385      3       10539522   1134526845690
529   26   22369     P     5593      1       41703278   306911145816478
529   27   23209     P     5805      3       12248034   12791907949770
529   28   24049     P     6014      2       20661531   96396496849686
529   29   24889     P     6225      3       14084934   8763998058150
529   32   27409     P     6853      1       62611296   1069138406515872
