k period            max            period-max  (period-max==12?)
 3       18         8        10   False
 4       54        42        12   True
 5      162       150        12   True
 6      486       474        12   True
 7     1458      1446        12   True
 8     4374      4362        12   True
 9    13122     13110        12   True
10    39366     39354        12   True
11   118098    118086        12   True
12   354294    354152       142   False
13  1062882   1062740       142   False
14  3188646   3188504       142   False
15  9565938   9565796       142   False
16 28697814  28697390       424   False
17 86093442  86092596       846   False
