
=== n=2: distinct sets=0  total pairs=(n-2)^2=0  largest diam=-1 multiplicity=0 ===

=== n=3: distinct sets=1  total pairs=(n-2)^2=1  largest diam=-1 multiplicity=0 ===
  |A|=  0 diam=  - runs=0 run_lengths=[] m=1

=== n=4: distinct sets=2  total pairs=(n-2)^2=4  largest diam=2 multiplicity=2 ===
  weighted span histogram diam->mult: 2:2
  |A|=  0 diam=  - runs=0 run_lengths=[] m=2
  |A|=  2 diam=  2 runs=2 run_lengths=[1,1] m=2

=== n=5: distinct sets=4  total pairs=(n-2)^2=9  largest diam=3 multiplicity=2 ===
  weighted span histogram diam->mult: 2:4 3:2
  |A|=  0 diam=  - runs=0 run_lengths=[] m=3
  |A|=  4 diam=  3 runs=1 run_lengths=[4] m=2
  |A|=  2 diam=  2 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  2 runs=2 run_lengths=[1,1] m=2

=== n=6: distinct sets=7  total pairs=(n-2)^2=16  largest diam=4 multiplicity=2 ===
  weighted span histogram diam->mult: 2:4 3:4 4:4
  |A|=  0 diam=  - runs=0 run_lengths=[] m=4
  |A|=  4 diam=  3 runs=1 run_lengths=[4] m=2
  |A|=  4 diam=  3 runs=1 run_lengths=[4] m=2
  |A|=  2 diam=  2 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  2 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  4 runs=2 run_lengths=[1,1] m=2
  |A|=  4 diam=  4 runs=2 run_lengths=[2,2] m=2

=== n=7: distinct sets=11  total pairs=(n-2)^2=25  largest diam=5 multiplicity=2 ===
  weighted span histogram diam->mult: 2:6 3:4 4:6 5:4
  |A|=  0 diam=  - runs=0 run_lengths=[] m=5
  |A|=  4 diam=  3 runs=1 run_lengths=[4] m=2
  |A|=  4 diam=  3 runs=1 run_lengths=[4] m=2
  |A|=  2 diam=  2 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  2 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  2 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  4 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  4 runs=2 run_lengths=[1,1] m=2
  |A|=  4 diam=  4 runs=2 run_lengths=[2,2] m=2
  |A|=  4 diam=  5 runs=2 run_lengths=[2,2] m=2
  |A|=  4 diam=  5 runs=3 run_lengths=[1,2,1] m=2

=== n=8: distinct sets=16  total pairs=(n-2)^2=36  largest diam=6 multiplicity=2 ===
  weighted span histogram diam->mult: 2:6 3:6 4:6 5:6 6:6
  |A|=  0 diam=  - runs=0 run_lengths=[] m=6
  |A|=  4 diam=  3 runs=1 run_lengths=[4] m=2
  |A|=  4 diam=  3 runs=1 run_lengths=[4] m=2
  |A|=  4 diam=  3 runs=1 run_lengths=[4] m=2
  |A|=  2 diam=  2 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  2 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  2 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  4 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  4 runs=2 run_lengths=[1,1] m=2
  |A|=  4 diam=  4 runs=2 run_lengths=[2,2] m=2
  |A|=  4 diam=  5 runs=2 run_lengths=[2,2] m=2
  |A|=  4 diam=  5 runs=2 run_lengths=[2,2] m=2
  |A|=  6 diam=  6 runs=2 run_lengths=[5,1] m=2
  |A|=  6 diam=  6 runs=2 run_lengths=[3,3] m=2
  |A|=  4 diam=  5 runs=3 run_lengths=[1,2,1] m=2
  |A|=  4 diam=  6 runs=4 run_lengths=[1,1,1,1] m=2

=== n=9: distinct sets=22  total pairs=(n-2)^2=49  largest diam=7 multiplicity=2 ===
  weighted span histogram diam->mult: 2:6 3:6 4:8 5:6 6:10 7:6
  |A|=  0 diam=  - runs=0 run_lengths=[] m=7
  |A|=  4 diam=  3 runs=1 run_lengths=[4] m=2
  |A|=  4 diam=  3 runs=1 run_lengths=[4] m=2
  |A|=  4 diam=  3 runs=1 run_lengths=[4] m=2
  |A|=  8 diam=  7 runs=1 run_lengths=[8] m=2
  |A|=  2 diam=  2 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  2 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  2 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  6 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  4 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  4 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  4 runs=2 run_lengths=[1,1] m=2
  |A|=  4 diam=  4 runs=2 run_lengths=[2,2] m=2
  |A|=  4 diam=  7 runs=2 run_lengths=[1,3] m=2
  |A|=  4 diam=  5 runs=2 run_lengths=[2,2] m=2
  |A|=  4 diam=  5 runs=2 run_lengths=[2,2] m=2
  |A|=  6 diam=  6 runs=2 run_lengths=[5,1] m=2
  |A|=  6 diam=  6 runs=2 run_lengths=[3,3] m=2
  |A|=  4 diam=  5 runs=3 run_lengths=[1,2,1] m=2
  |A|=  4 diam=  7 runs=3 run_lengths=[1,2,1] m=2
  |A|=  4 diam=  6 runs=4 run_lengths=[1,1,1,1] m=2
  |A|=  4 diam=  6 runs=4 run_lengths=[1,1,1,1] m=2

=== n=10: distinct sets=29  total pairs=(n-2)^2=64  largest diam=8 multiplicity=2 ===
  weighted span histogram diam->mult: 2:6 3:6 4:8 5:8 6:10 7:10 8:8
  |A|=  0 diam=  - runs=0 run_lengths=[] m=8
  |A|=  4 diam=  3 runs=1 run_lengths=[4] m=2
  |A|=  4 diam=  3 runs=1 run_lengths=[4] m=2
  |A|=  4 diam=  3 runs=1 run_lengths=[4] m=2
  |A|=  8 diam=  7 runs=1 run_lengths=[8] m=2
  |A|=  8 diam=  7 runs=1 run_lengths=[8] m=2
  |A|=  2 diam=  2 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  2 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  2 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  6 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  4 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  4 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  4 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  8 runs=2 run_lengths=[1,1] m=2
  |A|=  4 diam=  4 runs=2 run_lengths=[2,2] m=2
  |A|=  4 diam=  8 runs=2 run_lengths=[2,2] m=2
  |A|=  4 diam=  7 runs=2 run_lengths=[1,3] m=2
  |A|=  4 diam=  7 runs=2 run_lengths=[2,2] m=2
  |A|=  4 diam=  5 runs=2 run_lengths=[2,2] m=2
