
[alternating-2/4]
n       nu2c    nu2l    w        nu2c/w     nu2l/w    
100     1       2       49       0.02041    0.04082   
200     1       2       99       0.01010    0.02020   
400     1       2       199      0.00503    0.01005   
800     1       2       399      0.00251    0.00501   
1200    1       2       599      0.00167    0.00334   
1600    1       2       799      0.00125    0.00250   
2000    1       2       999      0.00100    0.00200   
3000    1       2       1499     0.00067    0.00133   
4000    1       2       1999     0.00050    0.00100   
5000    1       2       2499     0.00040    0.00080   
6000    1       2       2999     0.00033    0.00067   
8000    1       2       3999     0.00025    0.00050   
10000   1       2       4999     0.00020    0.00040   

[2,2,4,2,4,...]
n       nu2c    nu2l    w        nu2c/w     nu2l/w    
100     2       3       50       0.04000    0.06000   
200     2       3       100      0.02000    0.03000   
400     2       3       200      0.01000    0.01500   
800     2       3       400      0.00500    0.00750   
1200    2       3       600      0.00333    0.00500   
1600    2       3       800      0.00250    0.00375   
2000    2       3       1000     0.00200    0.00300   
3000    2       3       1500     0.00133    0.00200   
4000    2       3       2000     0.00100    0.00150   
5000    2       3       2500     0.00080    0.00120   
6000    2       3       3000     0.00067    0.00100   
8000    2       3       4000     0.00050    0.00075   
10000   2       3       5000     0.00040    0.00060   

[all-gaps-4]
n       nu2c    nu2l    w        nu2c/w     nu2l/w    
100     0       0       0        inf        inf       
200     0       0       0        inf        inf       
400     0       0       0        inf        inf       
800     0       0       0        inf        inf       
1200    0       0       0        inf        inf       
1600    0       0       0        inf        inf       
2000    0       0       0        inf        inf       
3000    0       0       0        inf        inf       
4000    0       0       0        inf        inf       
5000    0       0       0        inf        inf       
6000    0       0       0        inf        inf       
8000    0       0       0        inf        inf       
10000   0       0       0        inf        inf       

[consecutive-odds]
n       nu2c    nu2l    w        nu2c/w     nu2l/w    
100     0       1       98       0.00000    0.01020   
200     0       1       198      0.00000    0.00505   
400     0       1       398      0.00000    0.00251   
800     0       1       798      0.00000    0.00125   
1200    0       1       1198     0.00000    0.00083   
1600    0       1       1598     0.00000    0.00063   
2000    0       1       1998     0.00000    0.00050   
3000    0       1       2998     0.00000    0.00033   
4000    0       1       3998     0.00000    0.00025   
5000    0       1       4998     0.00000    0.00020   
6000    0       1       5998     0.00000    0.00017   
8000    0       1       7998     0.00000    0.00013   
10000   0       1       9998     0.00000    0.00010   
