giants: 15
row     jump      b_k    steps0   steps1  vmin vmax past amp  frac1
 34      1314        865      644     670    0    2    2    2 0.509893
 56      1739       4203      874     865    0    2    3    2 0.497412
 64     17326       5939     8909    8417    0    2    4    2 0.485802
 68      8237      23262     4068    4169    0    2    4    2 0.506131
 94     61088      31532    30712   30376    0    3    0    3 0.497250
 96     11354      92619     5625    5729    0    2    8    2 0.504580
110     37746     103960    18779   18967    0    2    3    2 0.502490
112    129923     141706    64912   65011    0    2    8    2 0.500381
126     53470     271620    26735   26735    0    2    3    2 0.500000
130    190810     325096    95580   95230    0    2    2    2 0.499083
134    217657     515907   108661  108996    0    2    2    2 0.500770
146    360698     733575   180558  180140    0    2    6    2 0.499421
161   4323712    1094263  2162475 2161237    0    2    3    2 0.499857
174   5237310    5417976  2617983 2619327    0    2   28    2 0.500128
238   5596825   10655260  2795575 2801250    0    2 None    2 0.500507
elapsed 112.3s
