n,u,y,actual,predicted,predicted_dstar
5,10000,12,death,survival,4
5,01111,10,death,survival,4
6,100000,12,death,survival,4
6,100000,14,death,survival,5
6,011111,10,death,survival,4
6,011111,12,death,survival,5
7,1000000,12,death,survival,4
7,1000000,14,death,survival,5
7,1000000,16,death,survival,6
7,0111000,12,death,survival,6
7,1000111,14,death,survival,6
7,0111111,10,death,survival,4
7,0111111,12,death,survival,5
7,0111111,14,death,survival,6
8,10000000,12,death,survival,4
8,10000000,14,death,survival,5
8,10000000,16,death,survival,6
8,10000000,18,death,survival,7
8,01110000,12,death,survival,6
8,01110000,14,death,survival,7
8,00101010,14,death,survival,7
8,11010101,16,death,survival,7
8,10001111,14,death,survival,6
8,10001111,16,death,survival,7
8,01111111,10,death,survival,4
8,01111111,12,death,survival,5
8,01111111,14,death,survival,6
8,01111111,16,death,survival,7
9,100000000,14,death,survival,5
9,100000000,18,death,survival,7
9,011100000,12,death,survival,6
9,001010100,14,death,survival,7
9,110101010,18,death,survival,8
9,100011110,16,death,survival,7
9,011111110,10,death,survival,4
9,011111110,14,death,survival,6
9,100000001,12,death,survival,4
9,100000001,16,death,survival,6
9,011100001,14,death,survival,7
9,001010101,16,death,survival,8
9,110101011,16,death,survival,7
9,100011111,14,death,survival,6
9,011111111,12,death,survival,5
9,011111111,16,death,survival,7
10,1000000010,12,death,survival,4
10,1000000010,16,death,survival,6
10,0111000010,14,death,survival,7
10,0010101010,16,death,survival,8
10,1101010110,16,death,survival,7
10,1000111110,14,death,survival,6
10,0111111110,12,death,survival,5
10,0111111110,16,death,survival,7
10,1000000001,14,death,survival,5
10,1000000001,18,death,survival,7
10,0111000001,12,death,survival,6
10,0010101001,14,death,survival,7
10,1101010101,18,death,survival,8
10,1000111101,16,death,survival,7
10,0111111101,10,death,survival,4
10,0111111101,14,death,survival,6
