sieve to 20000000 ...
primes: 1270607
depth 165: b-profile matches stored record: 165/165
closure-run law (jump == next-row {0,2}-run past block): FAIL
failures: [(3, 'char', 0, 0), (5, -1, 0), (5, 'char', -1, 0), (6, -1, 1), (6, 'char', -1, 0), (7, -1, 0), (7, 'char', -1, 0), (11, -1, 0), (11, 'char', -1, 0), (13, -1, 77)]

   k       j intr         b  runA     L  Ak[b+2]
   1       5    4         2     5     4        2
   2       6    4         7     6     5        4
   3       0    4        13     0     0        0
   4      11    4        13    11    10        2
   5      -1    8        24     0     0        0
   6      -1    8        23     1     0        8
   7      -1    6        22     0     0        0
   8       3    4        21     3     2        6
   9      34    4        24    34    33        2
  10      39    4        58    39    38        2
  11      -1    4        97     0     0        0
  12       1    4        96     1     0        4
  13      -1    4        97    77     0        2
  14      77    4        96    77    76        2
  15       2    4       173     2     1        2
  16       0    4       175     0     0        0
  17       0    4       175     0     0        0
  18       0    4       175     0     0        0
  19     115    4       175   115   114        2
  20      -1    6       290     1     0        4
  21      -1    6       289     0     0        2
  22     451    4       288   451   450        4
  23     134    4       739   134   133        2
  24      -1    6       873    29     0        6
  25      -1    6       872     0     0        0
  26       1    4       871     1     0        6
  27      -1    6       872     0     0        2
  28      -1    4       871     1     0        4
  29      -1    4       870     0     0        0
  30      -1    4       869    27     0        4
  31      -1    4       868     0     0        0
  32      -1    4       867     1     0        4
  33      -1    4       866     0     0        0
  34    1314    4       865  1314  1313        4
  35      -1    4      2179   594     0        2
  36      -1    4      2178   594     0        2
  37      -1    4      2177   594     0        2
  38     594    4      2176   594   593        2
  39      -1   10      2770     0     0        2
  40      -1    8      2769     1     0        8
  41      -1    8      2768     0     0        0
  42      -1    8      2767     3     0        8
  43      -1    8      2766     0     0        0
  44      -1    6      2765     1     0        8
  45      -1    6      2764     0     0        2
  46      -1    4      2763     3     0        4
  47       0    4      2762     0     0        0
  48       0    4      2762     0     0        0
  49       0    4      2762     0     0        0
  50     603    4      2762   603   602        4
  51     842    4      3365   842   841        2
  52      -1    4      4207  1735     0        4
  53      -1    4      4206     0     0        0
  54      -1    4      4205     1     0        4
  55      -1    4      4204     0     0        0
  56    1739    4      4203  1739  1738        4
  57       1    4      5942     1     0        6
  58      -1    6      5943     0     0        2
  59      -1    4      5942     1     0        4
  60      -1    4      5941     0     0        0
  61      -1    4      5940 13515     0        4
  62       0    4      5939     0     0        0
  63       0    4      5939     0     0        0
  64   17326    4      5939 17326 17325        2
  65      -1    6     23265     0     0        2
  66      -1    4     23264     1     0        4
  67      -1    4     23263     0     0        0
  68    8237    4     23262  8237  8236        4
  69      -1    6     31499     0     0        2
  70      -1    6     31498     5     0        4
  71      -1    4     31497    31     0        2
