sieve 20000000; primes 1270607; depth 165
b-profile matches stored record: True

regeneration events (2,4)-rows with j>=0: 60
checks: jump==closure-run  |  jump==chain-1  |  stall iff Ak[b+2]==0
jump==closure-run : ALL PASS
jump==chain-1     : ALL PASS
stall iff Ak[b+2]==0: ALL PASS

jump values at events: min=0 max=360698 stalls=17 positive=43

k    j         run  b_k   A_k[b+2]   halved-past-chain
  3         0         0       13      0             0
 12         1         1       96      4             0
 16         0         0      175      0             0
 17         0         0      175      0             0
 18         0         0      175      0             0
 26         1         1      871      6             0
 34      1314      1314      865      4             4
 47         0         0     2762      0             0
 48         0         0     2762      0             0
 49         0         0     2762      0             0
 56      1739      1739     4203      4             6
 57         1         1     5942      6             0
 62         0         0     5939      0             0
 63         0         0     5939      0             0
 64     17326     17326     5939      2             8
 68      8237      8237    23262      4             8
 75         0         0    31525      0             0
 79         0         0    31525      0             0
 91         1         1    31533      2             8
 94     61088     61088    31532      4             0
 96     11354     11354    92619      2            16
110     37746     37746   103960      2             6
111         0         0   141706      0             0
112    129923    129923   141706      4            16
126     53470     53470   271620      2             6
129         0         0   325096      0             0
130    190810    190810   325096      2             4
131         1         1   515906      2             6
132         1         1   515907      4             0
134    217657    217657   515907      4             4
135         0         0   733564      0             0
141         0         0   733574      0             0
142         0         0   733574      0             0
146    360698    360698   733575      2            12
160         0         0  1094263      0             0
161    176181    176181  1094263      2          None

halved value past chain end, histogram: {0: 27, 2: 3, 4: 8, 6: 8, 8: 8, 10: 1, 12: 1, 14: 1, 16: 2, None: 1}
elapsed 14.7s
