==============================================================================
PART A : kernel of Phi_n  (rows k=2..n-2, cols j=2..n-1)
==============================================================================
n    dims   rank   nullity kernel basis (as h, j=2..n-1)            ones in ker? nu2=wt(Phi*1)
2    0x0    0      0       —                                        YES nu2=0 (w=0) ratio=0
3    0x1    0      1       —                                        YES nu2=0 (w=1) ratio=0
4    1x2    1      1       11                                       YES nu2=0 (w=2) ratio=0
5    2x3    2      1       111                                      YES nu2=0 (w=3) ratio=0
6    3x4    3      1       1111                                     YES nu2=0 (w=4) ratio=0
7    4x5    4      1       11111                                    YES nu2=0 (w=5) ratio=0
8    5x6    5      1       111111                                   YES nu2=0 (w=6) ratio=0
9    6x7    6      1       1111111                                  YES nu2=0 (w=7) ratio=0
10   7x8    7      1       11111111                                 YES nu2=0 (w=8) ratio=0
11   8x9    8      1       111111111                                YES nu2=0 (w=9) ratio=0
12   9x10   9      1       1111111111                               YES nu2=0 (w=10) ratio=0
13   10x11  10     1       11111111111                              YES nu2=0 (w=11) ratio=0
14   11x12  11     1       111111111111                             YES nu2=0 (w=12) ratio=0
15   12x13  12     1       1111111111111                            YES nu2=0 (w=13) ratio=0
16   13x14  13     1       11111111111111                           YES nu2=0 (w=14) ratio=0
17   14x15  14     1       111111111111111                          YES nu2=0 (w=15) ratio=0
18   15x16  15     1       1111111111111111                         YES nu2=0 (w=16) ratio=0
19   16x17  16     1       11111111111111111                        YES nu2=0 (w=17) ratio=0
20   17x18  17     1       111111111111111111                       YES nu2=0 (w=18) ratio=0

Every all-ones h is in ker Phi_n: rank = n-3, nullity = 1, and
wt(Phi_n . 1) = 0 for every n = 2..20 (structural: each row XORs a
whole Pascal row sum = 2^(k-1) == 0 mod 2).  Hence min ratio 0 over
the F2 domain: NO positive universal covering constant c exists
with nu2 >= w/c for all h.

==============================================================================
PART B : real prime halved-gap bits avoid the kernel
==============================================================================
sieve to 1000000 : 78498 primes

n      nu2      w       nu2/n    nu2/w    in ker? (nu2=0)
50     26       30      0.5200   0.8667   NO (nu2>0)
51     22       31      0.4314   0.7097   NO (nu2>0)
52     22       32      0.4231   0.6875   NO (nu2>0)
53     17       33      0.3208   0.5152   NO (nu2>0)
54     29       34      0.5370   0.8529   NO (nu2>0)
55     24       35      0.4364   0.6857   NO (nu2>0)
56     22       36      0.3929   0.6111   NO (nu2>0)
57     28       37      0.4912   0.7568   NO (nu2>0)
58     24       38      0.4138   0.6316   NO (nu2>0)
59     35       38      0.5932   0.9211   NO (nu2>0)
60     30       39      0.5000   0.7692   NO (nu2>0)
61     28       40      0.4590   0.7000   NO (nu2>0)
62     24       41      0.3871   0.5854   NO (nu2>0)
63     28       41      0.4444   0.6829   NO (nu2>0)
64     26       42      0.4062   0.6190   NO (nu2>0)
65     34       42      0.5231   0.8095   NO (nu2>0)
66     25       43      0.3788   0.5814   NO (nu2>0)
67     25       44      0.3731   0.5682   NO (nu2>0)
68     26       45      0.3824   0.5778   NO (nu2>0)
69     36       46      0.5217   0.7826   NO (nu2>0)
70     37       46      0.5286   0.8043   NO (nu2>0)
71     26       47      0.3662   0.5532   NO (nu2>0)
72     35       47      0.4861   0.7447   NO (nu2>0)
73     31       48      0.4247   0.6458   NO (nu2>0)
74     32       49      0.4324   0.6531   NO (nu2>0)
75     46       49      0.6133   0.9388   NO (nu2>0)
76     33       50      0.4342   0.6600   NO (nu2>0)
77     36       50      0.4675   0.7200   NO (nu2>0)
78     38       50      0.4872   0.7600   NO (nu2>0)
79     35       50      0.4430   0.7000   NO (nu2>0)
80     37       51      0.4625   0.7255   NO (nu2>0)
81     34       52      0.4198   0.6538   NO (nu2>0)
82     38       53      0.4634   0.7170   NO (nu2>0)
83     37       54      0.4458   0.6852   NO (nu2>0)
84     43       55      0.5119   0.7818   NO (nu2>0)
85     47       55      0.5529   0.8545   NO (nu2>0)
86     45       56      0.5233   0.8036   NO (nu2>0)
87     43       56      0.4943   0.7679   NO (nu2>0)
88     45       56      0.5114   0.8036   NO (nu2>0)
89     44       57      0.4944   0.7719   NO (nu2>0)
90     44       57      0.4889   0.7719   NO (nu2>0)
91     43       57      0.4725   0.7544   NO (nu2>0)
