======================================== P = 7
n= 14  L= 12  suffix=000001100000
n= 15  L= 13  suffix=1111110111111
n= 16  L= 14  suffix=10101011010101
n= 17  L= 15  suffix=011001101100110
n= 18  L= 16  suffix=0010001001000100
n= 19  L= 17  suffix=00011110001111000
n= 20  L= 18  suffix=000010100001010000
n= 21  L= 19  suffix=0000011000001100000
n= 22  L= 20  suffix=11111101111110111111
n= 23  L= 21  suffix=101010110101011010101
n= 24  L= 22  suffix=0110011011001101100110
n= 25  L= 23  suffix=00100010010001001000100
n= 26  L= 24  suffix=000111100011110001111000
n= 27  L= 25  suffix=0000101000010100001010000
n= 28  L= 26  suffix=00000110000011000001100000
n= 29  L= 27  suffix=111111011111101111110111111
n= 30  L= 28  suffix=1010101101010110101011010101
n= 31  L= 29  suffix=01100110110011011001101100110
n= 32  L= 30  suffix=001000100100010010001001000100
n= 33  L= 31  suffix=0001111000111100011110001111000
n= 34  L= 32  suffix=00001010000101000010100001010000
n= 35  L= 33  suffix=000001100000110000011000001100000
n= 36  L= 34  suffix=1111110111111011111101111110111111
n= 37  L= 35  suffix=10101011010101101010110101011010101
n= 38  L= 36  suffix=011001101100110110011011001101100110
n= 39  L= 37  suffix=0010001001000100100010010001001000100
n= 40  L= 38  suffix=00011110001111000111100011110001111000
n= 41  L= 39  suffix=000010100001010000101000010100001010000
n= 42  L= 40  suffix=0000011000001100000110000011000001100000
n= 43  L= 41  suffix=11111101111110111111011111101111110111111
n= 44  L= 42  suffix=101010110101011010101101010110101011010101
n= 45  L= 43  suffix=0110011011001101100110110011011001101100110
n= 46  L= 44  suffix=00100010010001001000100100010010001001000100
n= 47  L= 45  suffix=000111100011110001111000111100011110001111000
n= 48  L= 46  suffix=0000101000010100001010000101000010100001010000
n= 49  L= 47  suffix=00000110000011000001100000110000011000001100000
n= 50  L= 48  suffix=111111011111101111110111111011111101111110111111
n= 51  L= 49  suffix=1010101101010110101011010101101010110101011010101
n= 52  L= 50  suffix=01100110110011011001101100110110011011001101100110
n= 53  L= 51  suffix=001000100100010010001001000100100010010001001000100
n= 54  L= 52  suffix=0001111000111100011110001111000111100011110001111000
n= 55  L= 53  suffix=00001010000101000010100001010000101000010100001010000
======================================== P = 9
n= 18  L= 16  suffix=0000000111111110
n= 19  L= 17  suffix=11111111010101011
n= 20  L= 18  suffix=101010101100110010
n= 21  L= 19  suffix=0110011001000100011
n= 22  L= 20  suffix=00100010001111000010
n= 23  L= 21  suffix=000111100001010000011
n= 24  L= 22  suffix=0000101000001100000010
n= 25  L= 23  suffix=00000110000001000000011
n= 26  L= 24  suffix=000000100000001111111101
n= 27  L= 25  suffix=0000000111111110101010110
n= 28  L= 26  suffix=11111111010101011001100100
n= 29  L= 27  suffix=101010101100110010001000111
n= 30  L= 28  suffix=0110011001000100011110000101
n= 31  L= 29  suffix=00100010001111000010100000110
n= 32  L= 30  suffix=000111100001010000011000000100
n= 33  L= 31  suffix=0000101000001100000010000000111
n= 34  L= 32  suffix=00000110000001000000011111111010
n= 35  L= 33  suffix=000000100000001111111101010101100
n= 36  L= 34  suffix=0000000111111110101010110011001000
n= 37  L= 35  suffix=11111111010101011001100100010001111
n= 38  L= 36  suffix=101010101100110010001000111100001010
n= 39  L= 37  suffix=0110011001000100011110000101000001100
n= 40  L= 38  suffix=00100010001111000010100000110000001000
n= 41  L= 39  suffix=000111100001010000011000000100000001111
n= 42  L= 40  suffix=0000101000001100000010000000111111110101
n= 43  L= 41  suffix=00000110000001000000011111111010101011001
n= 44  L= 42  suffix=000000100000001111111101010101100110010001
n= 45  L= 43  suffix=0000000111111110101010110011001000100011110
n= 46  L= 44  suffix=11111111010101011001100100010001111000010100
n= 47  L= 45  suffix=101010101100110010001000111100001010000011000
n= 48  L= 46  suffix=0110011001000100011110000101000001100000010000
n= 49  L= 47  suffix=00100010001111000010100000110000001000000011111
n= 50  L= 48  suffix=000111100001010000011000000100000001111111101010
n= 51  L= 49  suffix=0000101000001100000010000000111111110101010110011
n= 52  L= 50  suffix=00000110000001000000011111111010101011001100100010
n= 53  L= 51  suffix=000000100000001111111101010101100110010001000111100
n= 54  L= 52  suffix=0000000111111110101010110011001000100011110000101000
n= 55  L= 53  suffix=11111111010101011001100100010001111000010100000110000
n= 56  L= 54  suffix=101010101100110010001000111100001010000011000000100000
n= 57  L= 55  suffix=0110011001000100011110000101000001100000010000000111111
n= 58  L= 56  suffix=00100010001111000010100000110000001000000011111111010101
n= 59  L= 57  suffix=000111100001010000011000000100000001111111101010101100110
n= 60  L= 58  suffix=0000101000001100000010000000111111110101010110011001000100
n= 61  L= 59  suffix=00000110000001000000011111111010101011001100100010001111000
n= 62  L= 60  suffix=000000100000001111111101010101100110010001000111100001010000
n= 63  L= 61  suffix=0000000111111110101010110011001000100011110000101000001100000
n= 64  L= 62  suffix=11111111010101011001100100010001111000010100000110000001000000
n= 65  L= 63  suffix=101010101100110010001000111100001010000011000000100000001111111
