sieve to 1000000 : 78498 primes

=== (1) DENSE: nu2/w at EVERY n from 3 to 3000, global min ===
global min nu2/w over n in [3,3000] (incl degenerate tiny-n empty tail) = 0.0000 at n=3 (nu2=0, w=1)
min nu2/w over the meaningful prime domain n in [50,3000] = 0.5152 at n=53 (nu2=17, w=33)   <-- this is the number claims A/B restrict to

n      nu2    w      nu2/n    nu2/w
3      0      1      0.0000   0.0000    <-- min
4      1      1      0.2500   1.0000  
5      1      2      0.2000   0.5000  
6      1      2      0.1667   0.5000  
7      1      3      0.1429   0.3333  
8      1      3      0.1250   0.3333  
9      1      4      0.1111   0.2500  
10     6      5      0.6000   1.2000  
11     3      6      0.2727   0.5000  
12     5      6      0.4167   0.8333  
13     3      7      0.2308   0.4286  
14     5      7      0.3571   0.7143  
15     3      8      0.2000   0.3750  
16     10     9      0.6250   1.1111  
17     5      10     0.2941   0.5000  
18     6      11     0.3333   0.5455  
19     13     11     0.6842   1.1818  
20     9      12     0.4500   0.7500  
21     9      13     0.4286   0.6923  
22     8      13     0.3636   0.6154  
23     11     14     0.4783   0.7857  
24     10     14     0.4167   0.7143  
25     12     14     0.4800   0.8571  
26     11     15     0.4231   0.7333  
27     11     15     0.4074   0.7333  
28     12     16     0.4286   0.7500  
29     17     16     0.5862   1.0625  
30     10     17     0.3333   0.5882  
31     10     17     0.3226   0.5882  
32     12     18     0.3750   0.6667  
33     12     19     0.3636   0.6316  
34     13     20     0.3824   0.6500  
35     17     21     0.4857   0.8095  
36     14     22     0.3889   0.6364  
37     14     23     0.3784   0.6087  
38     19     23     0.5000   0.8261  
39     16     24     0.4103   0.6667  
40     22     25     0.5500   0.8800  
41     14     26     0.3415   0.5385  
42     20     27     0.4762   0.7407  
43     14     28     0.3256   0.5000  
44     22     28     0.5000   0.7857  
45     16     29     0.3556   0.5517  
46     18     29     0.3913   0.6207  
47     29     29     0.6170   1.0000  
48     20     29     0.4167   0.6897  
49     20     30     0.4082   0.6667  
50     26     30     0.5200   0.8667  
51     22     31     0.4314   0.7097  
52     22     32     0.4231   0.6875  
53     17     33     0.3208   0.5152  
54     29     34     0.5370   0.8529  
55     24     35     0.4364   0.6857  
56     22     36     0.3929   0.6111  
57     28     37     0.4912   0.7568  
58     24     38     0.4138   0.6316  
59     35     38     0.5932   0.9211  
60     30     39     0.5000   0.7692  
61     28     40     0.4590   0.7000  
62     24     41     0.3871   0.5854  
63     28     41     0.4444   0.6829  
64     26     42     0.4062   0.6190  
65     34     42     0.5231   0.8095  
66     25     43     0.3788   0.5814  
67     25     44     0.3731   0.5682  
68     26     45     0.3824   0.5778  
69     36     46     0.5217   0.7826  
70     37     46     0.5286   0.8043  
71     26     47     0.3662   0.5532  
72     35     47     0.4861   0.7447  
73     31     48     0.4247   0.6458  
74     32     49     0.4324   0.6531  
75     46     49     0.6133   0.9388  
76     33     50     0.4342   0.6600  
77     36     50     0.4675   0.7200  
78     38     50     0.4872   0.7600  
79     35     50     0.4430   0.7000  
80     37     51     0.4625   0.7255  
81     34     52     0.4198   0.6538  
82     38     53     0.4634   0.7170  
83     37     54     0.4458   0.6852  
84     43     55     0.5119   0.7818  
85     47     55     0.5529   0.8545  
86     45     56     0.5233   0.8036  
87     43     56     0.4943   0.7679  
88     45     56     0.5114   0.8036  
89     44     57     0.4944   0.7719  
90     44     57     0.4889   0.7719  
91     43     57     0.4725   0.7544  
92     47     57     0.5109   0.8246  
93     43     57     0.4624   0.7544  
94     46     57     0.4894   0.8070  
95     42     57     0.4421   0.7368  
96     45     58     0.4688   0.7759  
97     50     58     0.5155   0.8621  
98     45     59     0.4592   0.7627  
99     46     60     0.4646   0.7667  
100    42     61     0.4200   0.6885  
101    44     62     0.4356   0.7097  
102    48     63     0.4706   0.7619  
103    41     64     0.3981   0.6406  
104    48     65     0.4615   0.7385  
105    40     66     0.3810   0.6061  
106    47     67     0.4434   0.7015  
107    56     68     0.5234   0.8235  
108    50     69     0.4630   0.7246  
109    53     70     0.4862   0.7571  
110    47     71     0.4273   0.6620  
111    53     72     0.4775   0.7361  
112    61     72     0.5446   0.8472  
113    54     73     0.4779   0.7397  
114    51     73     0.4474   0.6986  
115    50     74     0.4348   0.6757  
116    48     75     0.4138   0.6400  
117    67     75     0.5726   0.8933  
118    59     76     0.5000   0.7763  
119    61     77     0.5126   0.7922  
120    50     78     0.4167   0.6410  
150    69     94     0.4600   0.7340  
300    152    186    0.5067   0.8172  
450    215    271    0.4778   0.7934  
600    301    368    0.5017   0.8179  
750    383    462    0.5107   0.8290  
900    444    558    0.4933   0.7957  
1050   527    648    0.5019   0.8133  
1200   583    733    0.4858   0.7954  
1350   677    815    0.5015   0.8307  
1500   772    892    0.5147   0.8655  
1650   834    982    0.5055   0.8493  
1800   869    1076   0.4828   0.8076  
1950   948    1162   0.4862   0.8158  
2100   1063   1254   0.5062   0.8477  
2250   1132   1340   0.5031   0.8448  
2400   1152   1425   0.4800   0.8084  
2550   1251   1512   0.4906   0.8274  
2700   1362   1600   0.5044   0.8512  
2850   1392   1687   0.4884   0.8251  
3000   1475   1776   0.4917   0.8305  

=== (2) SPARSE sample set {50,100,200,400,800,1600,3200,3999} ===
n      nu2    w      nu2/n    nu2/w
50     26     30     0.5200   0.8667  
100    42     61     0.4200   0.6885  
200    98     126    0.4900   0.7778  
400    203    244    0.5075   0.8320  
800    389    493    0.4863   0.7890  
1600   785    948    0.4906   0.8281  
3200   1604   1894   0.5012   0.8469  
3999   2048   2384   0.5121   0.8591  

min nu2/w over the sparse set = 0.6885 at n=100

=== VERIFICATION against recorded figures ===
sparse-set min (8 pts)      : 0.6885  (recorded 0.689)
dense-scan value at n=53    : 0.5152  (recorded 0.5152)
min over n in [50,3000]       : 0.5152 at n=53
global min over n in [3,3000] : 0.0000 at n=3
