num primes below 3000000 = 216816
rows built: 4001 row0 len 4002

n      nu2      n^0.525    n/2     nu2/n   g*    2*nu2+2  lem54
50     26       7.8        25.0     0.520    14     54       True
100    42       11.2       50.0     0.420    18     86       True
200    98       16.1       100.0    0.490    22     198      True
400    203      23.2       200.0    0.507    34     408      True
800    389      33.4       400.0    0.486    34     780      True
1600   785      48.1       800.0    0.491    36     1572     True
3200   1604     69.2       1600.0   0.501    52     3210     True
3999   2048     77.8       1999.5   0.512    72     4098     True

Lemma 5.4 hypothesis failed at: 0 of the sampled n
