one-side (1476984, 9765625) (1257456, 21390625) False True
one-side (23441880, 70241161) (219336, 2088025) True False
one-side (88536, 235225) (7284816, 35343025) True False
one-side (2275896, 5784025) (1157520, 30393169) True False
one-side (566544, 1221025) (1641144, 12145225) True False
one-side (2016, 4225) (2275896, 5784025) True False
one-side (12143880, 24810361) (13979160, 29041321) True False
one-side (248640, 485809) (2016, 4225) True False
one-side (911064, 1755625) (44972616, 96138025) True False
one-side (336, 625) (571704, 11868025) False True
one-side (336, 625) (22363176, 66015625) True False
one-side (38048184, 67980025) (237360, 863041) False True
one-side (1805400, 3171961) (25701984, 79299025) False True
one-side (17160, 29929) (8410920, 50310649) True False
one-side (17160, 29929) (72384, 180625) True False
one-side (3842520, 6661561) (939120, 2362369) True False
one-side (4140384, 7102225) (194184, 714025) False True
one-side (20064, 34225) (497640, 2301289) True False
one-side (26639976, 43099225) (656880, 1723969) True False
one-side (25223640, 40208281) (1261104, 3478225) True False
one-side (2415600, 3690241) (3360, 12769) True False
one-side (20983704, 30525625) (10061520, 41075281) True False
one-side (20983704, 30525625) (7177464, 26265625) True False
one-side (20983704, 30525625) (205656, 714025) True False
one-side (120, 169) (205656, 714025) True False
one-side (31416, 42025) (3882144, 35343025) True False
one-side (5544, 7225) (107880, 811801) True False
one-side (74256, 93025) (2352504, 78234025) True False
one-side (17368680, 21058921) (1492704, 26884225) True False
one-side (240, 289) (219336, 2088025) True False
one-side (51313680, 60855601) (68880, 707281) True False
one-side (889824, 1050625) (3882144, 35343025) True False
one-side (889824, 1050625) (1641144, 12145225) True False
one-side (6060600, 7123561) (87696, 616225) True False
one-side (703560, 811801) (107880, 811801) True False
one-side (14908320, 15816529) (388944, 7102225) True False
one-side (708624, 748225) (804264, 18705625) True False
one-side (24, 25) (1685040, 50140561) True False
one-side (11810400, 12229009) (1953000, 61042969) True False
M=80: |Phi|=1314; pairs q1>q2 with q1+q2<1: 252818
  both 1+/-sum rational squares: 0
  so sums passing necessary Phi-condition: 0
