k,P_mod,S_mod,N1,N0,P1_mod,vR_mod
1,1,1,1,2,0,0
2,101,11,2,2,10,10
3,20302,212,2,3,110,10
4,2042402,2222,2,4,110,10
5,2250400,22322,3,4,20210,10010
6,44353102,323323,3,5,120210,10010
7,14581260,3333333,4,5,1130220,1010010
8,65706380,43433434,4,6,31130220,1010010
9,21161323,40430440,4,7,31130220,1010010
10,10699667,10400500,5,7,11110290,92001001
11,77738268,14005005,5,8,12912092,92001001
12,50567341,50050055,5,9,12912092,92001001
13,60501668,6496551,6,9,70359589,81090100
14,39049712,67858508,6,10,62251580,81090100
15,54716955,75472072,7,10,91182501,10010
16,44184356,47813820,7,11,77218041,10010
17,24648269,74234303,7,12,77218041,10010
18,91059589,35436130,8,12,91993263,23723813
19,53059648,86594433,8,13,96400346,23723813
20,78244245,93172458,9,13,67480435,72081090
21,67421978,36519473,9,14,98024557,72081090
22,81722,75995629,9,15,98024557,72081090
23,33123189,66753185,10,15,76591028,49878611
24,54816534,55306959,10,16,77478089,49878611
25,19870232,41845700,10,17,77478089,49878611
26,60275067,8234111,11,17,26125280,67619831
27,1700368,51532424,11,18,77946677,67619831
28,28706456,80511550,12,18,54089943,23723813
29,28749021,32343632,12,19,42487362,23723813
30,2955903,55669457,12,20,42487362,23723813
31,49670129,86925705,13,20,17074871,63141248
32,64264041,86655529,13,21,68927602,63141248
33,35684836,83953769,13,22,68927602,63141248
34,5792364,56936169,14,22,41910002,90185858
35,12581262,57206270,14,23,9353099,90185858
36,40333002,59907280,15,23,13146350,67619831
37,70938295,63259113,15,24,79566673,67619831
38,15830011,96777443,15,25,79566673,67619831
39,60056666,27956739,16,25,80960076,24816054
40,18049559,22722941,16,26,61792247,24816054
41,80028325,71385962,17,26,41148474,87481397
42,22229311,73658592,17,27,47856831,87481397
43,32551107,96384892,17,28,47856831,87481397
44,54720697,20644889,18,28,18341792,31202776
45,22560159,13471663,18,29,3315952,31202776
46,41024594,42740404,18,30,3315952,31202776
47,69450076,32424811,19,30,35127245,10139333
48,68996161,21637455,19,31,9229961,10139333
49,10663986,14764896,20,31,99886311,24816054
50,2351308,92806517,20,32,79372439,24816054
51,73819081,65214719,20,33,79372439,24816054
52,49525310,92299742,21,33,87428479,56391909
53,44354057,72902517,21,34,88471854,56391909
54,53101262,80932269,22,34,70417231,82946378
55,65085883,22770476,22,35,91800666,82946378
56,75200667,47158552,22,36,91800666,82946378
57,76669057,89037310,23,36,37208578,74152115
58,89024449,15878257,23,37,4965399,74152115
59,73694063,92295735,23,38,4965399,74152115
60,55670478,48462507,24,38,90836824,66976202
61,10197991,43376103,24,39,35044177,66976202
62,3152407,93513064,25,39,84280703,56391909
63,91155288,85035741,25,40,88443124,56391909
64,86603720,262511,25,41,88443124,56391909
65,35450924,61539220,26,41,42599784,77204014
66,40826,74419353,26,42,8908311,77204014
67,27243608,1218681,26,43,8908311,77204014
68,20494781,77219969,27,43,79010805,83102808
69,39579658,88212782,27,44,95985684,83102808
70,65542916,97139911,28,44,92188718,66976202
71,14469665,25145142,28,45,58163608,66976202
72,84700423,12204459,28,46,58163608,66976202
73,37706153,84799631,29,46,64327502,100530362
74,89423114,35281941,29,47,54171872,100530362
75,7956564,45110046,30,47,88048841,21912328
76,57730180,64217764,30,48,71389871,21912328
77,55866334,53292942,30,49,71389871,21912328
78,71483736,45045723,31,49,45964976,83658107
79,84281631,75026319,31,50,27191518,83658107
80,79592962,71829276,31,51,27191518,83658107
81,14730066,39858846,32,51,60553534,16824495
82,76051542,61828437,32,52,51905967,16824495
83,76188743,79522345,33,52,80679087,100530362
84,22671776,83510086,33,53,99938630,100530362
85,5214985,22386495,33,54,99938630,100530362
86,77553903,17156591,34,54,79259671,76567533
87,65451397,28232265,34,55,95122932,76567533
88,81475026,37988004,34,56,95122932,76567533
89,67821910,34544393,35,56,91679321,50975770
90,74589753,47193657,35,57,37763693,50975770
91,77065497,72685296,36,57,6575374,16824495
92,78980395,87089938,36,58,29860202,16824495
93,29159748,29134356,36,59,29860202,16824495
94,97145098,55584542,37,59,71739345,3887833
95,61369086,89718782,37,60,91086158,3887833
96,1735177,27057178,38,60,15332544,23234646
97,77757774,98914274,38,61,36717771,23234646
98,27641934,9477226,38,62,36717771,23234646
99,66107984,24115755,39,62,60173748,78856455
100,36438073,19712129,39,63,23212353,78856455
101,67256110,76676870,39,64,23212353,78856455
102,18028779,40318274,40,64,4822960,49113904
103,66201752,86313812,40,65,32710425,49113904
104,88195299,41264187,41,65,87204847,3887833
105,81705236,47516237,41,66,53517681,3887833
106,71968629,9035736,41,67,53517681,3887833
107,7316938,28234730,42,67,62435406,26265281
108,81381173,39995147,42,68,86019573,26265281
109,81409935,56598316,43,68,79717628,41988059
110,46091725,76854784,43,69,61992544,41988059
111,98808084,77417462,43,70,61992544,41988059
112,17390931,83044242,44,70,60687060,8609903
113,84613478,7532485,44,71,99231143,8609903
114,2674763,60422923,44,72,99231143,8609903
115,90885345,84322298,45,72,730873,61785234
116,3464023,47061351,45,73,39463616,61785234
117,15065762,78455885,46,73,36563445,26265281
118,35821354,37201696,46,74,24310965,26265281
119,48312936,28663810,46,75,24310965,26265281
120,85459124,44285951,47,75,30351424,58664633
121,78139988,19495877,47,76,46157760,58664633
122,66357112,74598140,47,77,46157760,58664633
123,100081524,19614764,48,77,35113026,36695312
124,77269691,58095803,48,78,83040403,36695312
125,67646944,38902189,49,78,68977293,61785234
126,54562337,97865270,49,79,66569471,61785234
127,10958210,81490074,49,80,66569471,61785234
128,94589554,18739115,50,80,26391990,2457985
129,13924839,9969048,50,81,15392728,2457985
130,9550181,23269379,51,81,55667916,28792144
131,43634427,15610276,51,82,49260936,28792144
132,91887395,40020247,51,83,49260936,28792144
133,69136147,82117955,52,83,89010423,1689883
134,30876624,30070424,52,84,43472025,1689883
135,41203411,14600119,52,85,43472025,1689883
136,63872101,61899071,53,85,25717098,68698152
137,31643757,93960271,53,86,33325565,68698152
138,92009728,10568267,54,86,74515216,2457985
139,11399756,29261573,54,87,85316015,2457985
140,44496614,14192631,54,88,85316015,2457985
141,21149381,65505213,55,88,8837479,18947641
142,13706821,36520587,55,89,37631205,18947641
143,47327343,49677330,56,89,89528430,51897225
144,53692412,5735596,56,90,31619450,51897225
145,37024717,71323261,56,91,31619450,51897225
146,87272234,20192904,57,91,20993859,75154899
147,90686583,44469078,57,92,50524941,75154899
148,12733113,85228816,57,93,50524941,75154899
149,95464191,88822192,58,93,27796080,1597668
150,31290813,96190650,58,94,60451145,1597668
151,24111370,68874229,59,94,8344028,18947641
152,98034703,70210751,59,95,25746714,18947641
153,61344646,83575971,59,96,25746714,18947641
154,28374982,15226169,60,96,29570379,97749470
155,29128234,18745439,60,97,95853999,97749470
156,16111820,53938139,60,98,95853999,97749470
157,27483433,1861135,61,98,60585116,17796689
158,92527574,95577300,61,99,1985105,17796689
159,71888401,22728940,62,99,3489621,1597668
160,15610665,41264140,62,100,6979660,1597668
161,12692900,24614138,62,101,6979660,1597668
162,23919403,60116120,63,101,73830595,63737829
163,21488223,26527541,63,102,78739672,63737829
164,78553765,94645755,64,102,4494653,15691867
165,16659139,93366274,64,103,38658354,15691867
166,65525614,80571464,64,104,38658354,15691867
167,3124065,53624365,65,104,85230082,46206343
168,50176775,89298136,65,105,59190576,46206343
169,93616614,42031842,65,106,59190576,46206343
170,94557471,74373907,66,106,70796662,58380041
171,55390499,14526533,66,107,96890429,58380041
172,94602673,22058799,67,107,33177509,63737829
173,14691445,49958339,67,108,92200242,63737829
174,72091373,25950736,67,109,92200242,63737829
175,55027116,88877709,68,109,32018593,68472776
176,55541022,58489903,68,110,98442271,68472776
177,21391168,57614846,68,111,98442271,68472776
178,40439802,48864276,69,111,790747,56372729
179,87923082,42360109,69,112,61792810,56372729
180,97233283,78319440,70,112,9430413,58380041
181,4655732,53981867,70,113,3711804,58380041
182,25621545,12608139,70,114,3711804,58380041
183,1181824,2874863,71,114,20720886,45672021
184,98553060,81464907,71,115,30221110,45672021
185,26582041,59357339,72,115,17056762,87883034
186,48646686,58389788,72,116,46731689,87883034
187,20581698,48714278,72,117,46731689,87883034
188,42110926,52960179,73,117,7164217,80477616
189,36312661,21365010,73,118,68240764,80477616
190,72011095,8416323,73,119,68240764,80477616
191,5818459,80931455,74,119,96512309,48132689
192,95504389,78629502,74,120,13496907,48132689
193,30716276,55609972,75,120,22352448,45672021
194,54599474,2809995,75,121,82999062,45672021
195,19815518,80816231,75,122,82999062,45672021
196,76454953,52870583,76,122,98787781,9028045
197,89850591,12980350,76,123,2011358,9028045
198,99891937,18082024,77,123,57487184,81667482
199,22634999,88486128,77,124,78138032,81667482
200,83031232,85520161,77,125,78138032,81667482
