n= 2 trials=200000  p(n,inf)=0.501310+-0.001118  p(n,1800)=0.505010+-0.001118   [pure check 1/2=OK]
n= 3 trials=200000  p(n,inf)=0.388650+-0.001090  p(n,1800)=0.390000+-0.001091   [pure check 7/18=OK]
n= 4 trials=200000  p(n,inf)=0.527835+-0.001116  p(n,1800)=0.523570+-0.001117   [pure check 19/36=OK]
n= 5 trials=200000  p(n,inf)=0.533045+-0.001116  p(n,1800)=0.532440+-0.001116
n= 6 trials=200000  p(n,inf)=0.487000+-0.001118  p(n,1800)=0.487315+-0.001118
n= 7 trials=200000  p(n,inf)=0.489270+-0.001118  p(n,1800)=0.490845+-0.001118
n= 8 trials=200000  p(n,inf)=0.506880+-0.001118  p(n,1800)=0.503180+-0.001118
n= 9 trials=200000  p(n,inf)=0.502820+-0.001118  p(n,1800)=0.501700+-0.001118
n=10 trials=200000  p(n,inf)=0.496310+-0.001118  p(n,1800)=0.496880+-0.001118
n=11 trials=200000  p(n,inf)=0.496835+-0.001118  p(n,1800)=0.500850+-0.001118
n=12 trials=200000  p(n,inf)=0.498405+-0.001118  p(n,1800)=0.499990+-0.001118
n=13 trials=200000  p(n,inf)=0.499465+-0.001118  p(n,1800)=0.501135+-0.001118
n=14 trials=100000  p(n,inf)=0.499780+-0.001581  p(n,1800)=0.500430+-0.001581
n=15 trials= 66666  p(n,inf)=0.499730+-0.001937  p(n,1800)=0.497900+-0.001936
n=16 trials= 50000  p(n,inf)=0.500960+-0.002236  p(n,1800)=0.501680+-0.002236
n=17 trials= 40000  p(n,inf)=0.497300+-0.002500  p(n,1800)=0.500075+-0.002500
n=18 trials= 33333  p(n,inf)=0.503735+-0.002739  p(n,1800)=0.500375+-0.002739
n=19 trials= 28571  p(n,inf)=0.498687+-0.002958  p(n,1800)=0.497112+-0.002958
n=20 trials= 25000  p(n,inf)=0.498760+-0.003162  p(n,1800)=0.497040+-0.003162
n=21 trials= 22222  p(n,inf)=0.500450+-0.003354  p(n,1800)=0.504320+-0.003354
n=22 trials= 20000  p(n,inf)=0.497100+-0.003535  p(n,1800)=0.493500+-0.003535
n=23 trials= 20000  p(n,inf)=0.499100+-0.003536  p(n,1800)=0.490600+-0.003535
n=24 trials= 20000  p(n,inf)=0.501700+-0.003536  p(n,1800)=0.502950+-0.003535
n=25 trials= 20000  p(n,inf)=0.504550+-0.003535  p(n,1800)=0.499900+-0.003536
n=26 trials= 20000  p(n,inf)=0.501450+-0.003536  p(n,1800)=0.492800+-0.003535
n=27 trials= 20000  p(n,inf)=0.497900+-0.003536  p(n,1800)=0.502900+-0.003535
n=28 trials= 20000  p(n,inf)=0.501850+-0.003536  p(n,1800)=0.501100+-0.003536
n=29 trials= 20000  p(n,inf)=0.510450+-0.003535  p(n,1800)=0.496550+-0.003535
n=30 trials= 20000  p(n,inf)=0.503300+-0.003535  p(n,1800)=0.504600+-0.003535

  pure-race and finite delta near the target (n=13, m=L/40=45):
    n=11: p(inf)=0.496835  p(1800)=0.500850  diff=+0.004015
    n=12: p(inf)=0.498405  p(1800)=0.499990  diff=+0.001585
    n=13: p(inf)=0.499465  p(1800)=0.501135  diff=+0.001670
    n=14: p(inf)=0.499780  p(1800)=0.500430  diff=+0.000650
    n=15: p(inf)=0.499730  p(1800)=0.497900  diff=-0.001830
