# d  Qp[-1,-1,-1] Qq[-1,-1,-1]  Qp[-1,-1,+1] Qq[-1,-1,+1]  Qp[-1,+1,-1] Qq[-1,+1,-1]  Qp[-1,+1,+1] Qq[-1,+1,+1]  Qp[+1,-1,-1] Qq[+1,-1,-1]  Qp[+1,-1,+1] Qq[+1,-1,+1]  Qp[+1,+1,-1] Qq[+1,+1,-1]  Qp[+1,+1,+1] Qq[+1,+1,+1]
0.159154943092  0.000000000 0.500000000  0.000000000 0.500000000  0.000000000 0.500000000  0.000000000 0.500000000  0.000000000 0.500000000  0.000000000 0.500000000  0.000000000 0.500000000  0.000000000 0.500000000
0.15929936434  0.071082055 0.422451835  0.142168215 0.357831785  0.864297895 0.649927547  0.935384054 0.585307496  0.064615946 0.414692504  0.135702105 0.350072453  0.857831785 0.642168215  0.928917945 0.577548165
0.159443785587  0.100484281 0.390369180  0.200980166 0.299019834  0.808166373 0.711956014  0.908662259 0.620606668  0.091337741 0.379393332  0.191833627 0.288043986  0.799019834 0.700980166  0.899515719 0.609630820
0.159588206835  0.123017541 0.365777735  0.246056393 0.253943607  0.765148331 0.759502061  0.888187183 0.647667933  0.111812817 0.352332067  0.234851669 0.240497939  0.753943607 0.746056393  0.876982459 0.634222265
0.159732628083  0.141990675 0.345068285  0.284014146 0.215985854  0.728926894 0.799543395  0.870950366 0.670460963  0.129049634 0.329539037  0.271073106 0.200456605  0.715985854 0.784014146  0.858009325 0.654931715
0.159877049331  0.158685912 0.326842279  0.317417641 0.182582359  0.697054168 0.834783812  0.855785897 0.690523892  0.144214103 0.309476108  0.302945832 0.165216188  0.682582359 0.817417641  0.841314088 0.673157721
0.160021470579  0.173761144 0.310382185  0.347582492 0.152417508  0.668274179 0.866610497  0.842095527 0.708645821  0.157904473 0.291354179  0.331725821 0.133389503  0.652417508 0.847582492  0.826238856 0.689617815
0.160165891826  0.187607357 0.295261595  0.375290548 0.124709452  0.641840501 0.895847806  0.829523692 0.725295664  0.170476308 0.274704336  0.358159499 0.104152194  0.624709452 0.875290548  0.812392643 0.704738405
0.160310313074  0.200479407 0.281202578  0.401051428 0.098948572  0.617266587 0.923033046  0.817838608 0.740779040  0.182161392 0.259220960  0.382733413 0.076966954  0.598948572 0.901051428  0.799520593 0.718797422
0.160454734322  0.212554395 0.268012011  0.425219257 0.074780743  0.594214337 0.948539569  0.806879199 0.755308301  0.193120801 0.244691699  0.405785663 0.051460431  0.574780743 0.925219257  0.787445605 0.731987989
0.16059915557  0.223961322 0.255549230  0.448051973 0.051948027  0.572437476 0.972639310  0.796528126 0.769038108  0.203471874 0.230961892  0.427562524 0.027360690  0.551948027 0.948051973  0.776038678 0.744450770
0.160743576818  0.234797615 0.243708003  0.469744375 0.030255625  0.551750007 0.995537634  0.786696766 0.782085256  0.213303234 0.217914744  0.448249993 0.004462366  0.530255625 0.969744375  0.765202385 0.756291997
0.160887998065  0.245138998 0.232405769  0.490447866 0.009552134  0.532007367 0.017394145  0.777316234 0.794540510  0.222683766 0.205459490  0.467992633 0.982605855  0.509552134 0.990447866  0.754861002 0.767594231
0.161032419313  0.255045716 0.221576848  0.510282894 0.989717106  0.513094542 0.038335817  0.768331720 0.806476075  0.231668280 0.193523925  0.486905458 0.961664183  0.489717106 0.010282894  0.744954284 0.778423152
0.161176840561  0.264566636 0.211167965  0.529347159 0.970652841  0.494918241 0.058465638  0.759698764 0.817950515  0.240301236 0.182049485  0.505081759 0.941534362  0.470652841 0.029347159  0.735433364 0.788832035
0.161321261809  0.273742050 0.201135197  0.547721212 0.952278788  0.477401542 0.077868516  0.751380704 0.829012107  0.248619296 0.170987893  0.522598458 0.922131484  0.452278788 0.047721212  0.726257950 0.798864803
0.161465683056  0.282605644 0.191441823  0.565472399 0.934527601  0.460480133 0.096615437  0.743346888 0.839701215  0.256653112 0.160298785  0.539519867 0.903384563  0.434527601 0.065472399  0.717394356 0.808558177
0.161610104304  0.291185928 0.182056771  0.582657709 0.917342291  0.444099592 0.114766470  0.735571372 0.850051990  0.264428628 0.149948010  0.555900408 0.885233530  0.417342291 0.082657709  0.708814072 0.817943229
0.161754525552  0.299507281 0.172953467  0.599325880 0.900674120  0.428213372 0.132372982  0.728031971 0.860093636  0.271968029 0.139906364  0.571786628 0.867627018  0.400674120 0.099325880  0.700492719 0.827046533
0.1618989468  0.307590748 0.164108974  0.615518979 0.884481021  0.412781299 0.149479312  0.720709529 0.869851359  0.279290471 0.130148641  0.587218701 0.850520688  0.384481021 0.115518979  0.692409252 0.835891026
0.162043368048  0.315454646 0.155503331  0.631273620 0.868726380  0.397768403 0.166124046  0.713587376 0.879347095  0.286412624 0.120652905  0.602231597 0.833875954  0.368726380 0.131273620  0.684545354 0.844496669
0.162187789295  0.323115035 0.147119037  0.646621904 0.853378096  0.383144024 0.182341017  0.706650893 0.888600076  0.293349107 0.111399924  0.616855976 0.817658983  0.353378096 0.146621904  0.676884965 0.852880963
0.162332210543  0.330586089 0.138940646  0.661592163 0.838407837  0.368881103 0.198160081  0.699887176 0.897627272  0.300112824 0.102372728  0.631118897 0.801839919  0.338407837 0.161592163  0.669413911 0.861059354
0.162476631791  0.337880395 0.130954442  0.676209553 0.823790447  0.354955610 0.213607748  0.693284768 0.906443753  0.306715232 0.093556247  0.645044390 0.786392252  0.323790447 0.176209553  0.662119605 0.869045558
0.162621053039  0.345009189 0.123148184  0.690496534 0.809503466  0.341346093 0.228707686  0.686833438 0.915062969  0.313166562 0.084937031  0.658653907 0.771292314  0.309503466 0.190496534  0.654990811 0.876851816
0.162765474286  0.351982554 0.115510886  0.704473254 0.795526746  0.328033306 0.243481126  0.680524007 0.923496987  0.319475993 0.076503013  0.671966694 0.756518874  0.295526746 0.204473254  0.648017446 0.884489114
0.162909895534  0.358809576 0.108032649  0.718157875 0.781842125  0.314999901 0.257947206  0.674348200 0.931756682  0.325651800 0.068243318  0.685000099 0.742052794  0.281842125 0.218157875  0.641190424 0.891967351
0.163054316782  0.365498480 0.100704512  0.731566834 0.768433166  0.302230174 0.272123243  0.668298528 0.939851898  0.331701472 0.060148102  0.697769826 0.727876757  0.268433166 0.231566834  0.634501520 0.899295488
0.16319873803  0.372056740 0.093518335  0.744715064 0.755284936  0.289709861 0.286024974  0.662368185 0.947791575  0.337631815 0.052208425  0.710290139 0.713975026  0.255284936 0.244715064  0.627943260 0.906481665
0.163343159278  0.378491169 0.086466696  0.757616185 0.742383815  0.277425950 0.299666747  0.656550966 0.955583866  0.343449034 0.044416134  0.722574050 0.700333253  0.242383815 0.257616185  0.621508831 0.913533304
0.163487580525  0.384808003 0.079542803  0.770282655 0.729717345  0.265366539 0.313061687  0.650841191 0.963236230  0.349158809 0.036763770  0.734633461 0.686938313  0.229717345 0.270282655  0.615191997 0.920457197
0.163632001773  0.391012964 0.072740425  0.782725906 0.717274094  0.253520706 0.326221840  0.645233648 0.970755510  0.354766352 0.029244490  0.746479294 0.673778160  0.217274094 0.282725906  0.608987036 0.927259575
0.163776423021  0.397111316 0.066053826  0.794956462 0.705043538  0.241878396 0.339158292  0.639723542 0.978148004  0.360276458 0.021851996  0.758121604 0.660841708  0.205043538 0.294956462  0.602888684 0.933946174
0.163920844269  0.403107921 0.059477713  0.806984033 0.693015967  0.230430332 0.351881271  0.634306444 0.985419525  0.365693556 0.014580475  0.769569668 0.648118729  0.193015967 0.306984033  0.596892079 0.940522287
