D	x	y
2	3	2
3	2	1
5	9	4
6	5	2
7	8	3
8	3	1
10	19	6
11	10	3
12	7	2
13	649	180
14	15	4
15	4	1
17	33	8
18	17	4
19	170	39
20	9	2
21	55	12
22	197	42
23	24	5
24	5	1
26	51	10
27	26	5
28	127	24
29	9801	1820
30	11	2
31	1520	273
32	17	3
33	23	4
34	35	6
35	6	1
37	73	12
38	37	6
39	25	4
40	19	3
41	2049	320
42	13	2
43	3482	531
44	199	30
45	161	24
46	24335	3588
47	48	7
48	7	1
50	99	14
51	50	7
52	649	90
53	66249	9100
54	485	66
55	89	12
56	15	2
57	151	20
58	19603	2574
59	530	69
60	31	4
61	1766319049	226153980
62	63	8
63	8	1
65	129	16
66	65	8
67	48842	5967
68	33	4
69	7775	936
70	251	30
71	3480	413
72	17	2
73	2281249	267000
74	3699	430
75	26	3
76	57799	6630
77	351	40
78	53	6
79	80	9
80	9	1
82	163	18
83	82	9
84	55	6
85	285769	30996
86	10405	1122
87	28	3
88	197	21
89	500001	53000
90	19	2
91	1574	165
92	1151	120
93	12151	1260
94	2143295	221064
95	39	4
96	49	5
97	62809633	6377352
98	99	10
99	10	1
101	201	20
102	101	10
103	227528	22419
104	51	5
105	41	4
106	32080051	3115890
107	962	93
108	1351	130
109	158070671986249	15140424455100
110	21	2
111	295	28
112	127	12
113	1204353	113296
114	1025	96
115	1126	105
116	9801	910
117	649	60
118	306917	28254
119	120	11
120	11	1
122	243	22
123	122	11
124	4620799	414960
125	930249	83204
126	449	40
127	4730624	419775
128	577	51
129	16855	1484
130	6499	570
131	10610	927
132	23	2
133	2588599	224460
134	145925	12606
135	244	21
136	35	3
137	6083073	519712
138	47	4
139	77563250	6578829
140	71	6
141	95	8
142	143	12
143	12	1
145	289	24
146	145	12
147	97	8
148	73	6
149	25801741449	2113761020
150	49	4
151	1728148040	140634693
152	37	3
153	2177	176
154	21295	1716
155	249	20
156	25	2
157	46698728731849	3726964292220
158	7743	616
159	1324	105
160	721	57
161	11775	928
162	19601	1540
163	64080026	5019135
164	2049	160
165	1079	84
166	1700902565	132015642
167	168	13
168	13	1
170	339	26
171	170	13
172	24248647	1848942
173	2499849	190060
174	1451	110
175	2024	153
176	199	15
177	62423	4692
178	1601	120
179	4190210	313191
180	161	12
181	2469645423824185801	183567298683461940
182	27	2
183	487	36
184	24335	1794
185	9249	680
186	7501	550
187	1682	123
188	4607	336
189	55	4
190	52021	3774
191	8994000	650783
192	97	7
193	6224323426849	448036604040
194	195	14
195	14	1
197	393	28
198	197	14
199	16266196520	1153080099
200	99	7
201	515095	36332
202	19731763	1388322
203	57	4
204	4999	350
205	39689	2772
206	59535	4148
207	1151	80
208	649	45
209	46551	3220
210	29	2
211	278354373650	19162705353
212	66249	4550
213	194399	13320
214	695359189925	47533775646
215	44	3
216	485	33
217	3844063	260952
218	126003	8534
219	74	5
220	89	6
221	1665	112
222	149	10
223	224	15
224	15	1
226	451	30
227	226	15
228	151	10
229	5848201	386460
230	91	6
231	76	5
232	19603	1287
233	1072400673	70255304
234	5201	340
235	46	3
236	561799	36570
237	228151	14820
238	11663	756
239	6195120	400729
240	31	2
241	10085143557001249	649641205044600
242	19601	1260
243	70226	4505
244	1766319049	113076990
245	51841	3312
246	88805	5662
247	85292	5427
248	63	4
249	8553815	542076
250	39480499	2496966
251	3674890	231957
252	127	8
253	3222617399	202604220
254	255	16
255	16	1
257	513	32
258	257	16
259	847225	52644
260	129	8
261	192119201	11891880
262	104980517	6485718
263	139128	8579
264	65	4
265	73738369	4529712
266	685	42
267	2402	147
268	4771081927	291440214
269	13449	820
270	5291	322
271	115974983600	7044978537
272	33	2
273	727	44
274	3959299	239190
275	199	12
276	7775	468
277	159150073798980475849	9562401173878027020
278	2501	150
279	1520	91
280	251	15
281	2262200630049	134951575480
282	2351	140
283	138274082	8219541
284	24220799	1437240
285	2431	144
286	561835	33222
287	288	17
288	17	1
290	579	34
291	290	17
292	2281249	133500
293	12320649	719780
294	4801	280
295	2024999	117900
296	3699	215
297	48599	2820
298	335473872499	19433479650
299	415	24
300	1351	78
301	5883392537695	339113108232
302	4276623	246092
303	2524	145
304	57799	3315
305	489	28
306	35	2
307	88529282	5052633
308	351	20
309	64202725495	3652365444
310	848719	48204
311	16883880	957397
312	53	3
313	32188120829134849	1819380158564160
314	392499	22150
315	71	4
316	12799	720
317	248678907849	13967198980
318	107	6
319	12901780	722361
320	161	9
321	215	12
322	323	18
323	18	1
325	649	36
326	325	18
327	217	12
328	163	9
329	2376415	131016
330	109	6
331	2785589801443970	153109862634573
332	13447	738
333	73	4
334	63804373719695	3491219999244
335	604	33
336	55	3
337	2063810353129713793	112422913565764752
338	114243	6214
339	97970	5321
340	285769	15498
341	10626551	575460
342	37	2
343	130576328	7050459
344	10405	561
345	6761	364
346	17299	930
347	641602	34443
348	1567	84
349	169648201	9081060
350	449	24
351	62425	3332
352	77617	4137
353	10157115393	540608704
354	258065	13716
355	954809	50676
356	500001	26500
357	3401	180
358	176579805797	9332532726
359	360	19
360	19	1
362	723	38
363	362	19
364	4954951	259710
365	23915529	1251796
366	907925	47458
367	19019995568	992835687
368	1151	60
369	8396801	437120
370	213859	11118
371	1695	88
372	12151	630
373	52387849	2712540
374	3365	174
375	15124	781
376	2143295	110532
377	233	12
378	8749	450
379	12941197220540690	664744650125541
380	39	2
381	1015	52
382	164998439999	8442054600
383	18768	959
384	4801	245
385	95831	4884
386	111555	5678
387	3482	177
388	62809633	3188676
389	3287049	166660
390	79	4
391	7338680	371133
392	99	5
393	46437143	2342444
394	312086396361222451	15722685507826110
395	159	8
396	199	10
397	838721786045180184649	42094239791738433660
398	399	20
399	20	1
401	801	40
402	401	20
403	669878	33369
404	201	10
405	161	8
406	59468095	2951352
407	2663	132
408	101	5
409	25052977273092427986049	1238789998647218582160
410	81	4
411	49730	2453
412	103537981567	5100950232
413	113399	5580
414	24335	1196
415	18412804	903849
416	5201	255
417	85322647	4178268
418	33857	1656
419	270174970	13198911
420	41	2
421	3879474045914926879468217167061449	189073995951839020880499780706260
422	7022501	341850
423	4607	224
424	32080051	1557945
425	143649	6968
426	88751	4300
427	62	3
428	1850887	89466
429	1524095	73584
430	2862251	138030
431	151560720	7300423
432	1351	65
433	104564907854286695713	5025068784834899736
434	125	6
435	146	7
436	158070671986249	7570212227550
437	4599	220
438	293	14
439	440	21
440	21	1
442	883	42
443	442	21
444	295	14
445	43468489	2060604
446	110166015	5216512
447	148	7
448	127	6
449	71798771299708449	3388393513402120
450	19601	924
451	46471490	2188257
452	1204353	56648
453	1653751	77700
454	16916040084175685	793909098494766
455	64	3
456	1025	48
457	6983244756398928218113	326662411570389853632
458	22899	1070
459	499850	23331
460	2535751	118230
461	1182351890184201	55067617520620
462	43	2
463	247512720456368	11502891625161
464	9801	455
465	15871	736
466	938319425	43466808
467	1625626	75225
468	649	30
469	137215	6336
470	1691	78
471	7838695	361188
472	306917	14127
473	87	4
474	193549	8890
475	57799	2652
476	28799	1320
477	8777860001	401910600
478	1617319577991743	73974475657896
479	2989440	136591
480	241	11
481	1859131879201	84769117080
482	483	22
483	22	1
485	969	44
486	485	22
487	51906073840568	2352088722477
488	243	11
489	7592629975	343350596
490	1039681	46968
491	93628044170	4225374483
492	29767	1342
493	935662752649	42140131020
494	73035	3286
495	89	4
496	4620799	207480
497	1201887	53912
498	179777	8056
499	4490	201
500	930249	41602
501	11242731902975	502288218432
502	3832352837	171046278
503	24648	1099
504	449	20
505	809	36
506	45	2
507	1351	60
508	44757606858751	1985797689600
509	313201220822405001	13882400040814700
510	271	12
511	4188548960	185290497
512	665857	29427
513	13771351	608020
514	4625	204
515	17406	767
516	16855	742
517	590968985399	25990786260
518	2367	104
519	14851876	651925
520	6499	285
521	32961431500035201	1444066532654320
522	19603	858
523	81810300626	3577314675
524	225144199	9835470
525	6049	264
526	84056091546952933775	3665019757324295532
527	528	23
528	23	1
530	1059	46
531	530	23
532	2588599	112230
533	74859849	3242540
534	3678725	159194
535	1618804	69987
536	145925	6303
537	192349463	8300492
538	9536081203	411129654
539	3970	171
540	119071	5124
541	3707453360023867028800645599667005001	159395869721270110077187138775196900
542	4293183	184408
543	669337	28724
544	2449	105
545	1961	84
546	701	30
547	160177601264642	6848699678673
548	6083073	259856
549	1766319049	75384660
550	30580901	1303974
551	8380	357
552	47	2
553	624635837407	26562217704
554	60756099699	2581279330
555	1814	77
556	12032115501124999	510275358434250
557	27849	1180
558	7937	336
559	506568295	21425556
560	71	3
561	522785	22072
562	220938497	9319728
563	68122	2871
564	95	4
565	435259412378569	18311501103948
566	95609285	4018758
567	2024	85
568	143	6
569	16760473211643448449	702635588524014320
570	191	8
571	181124355061630786130	7579818350628982587
572	287	12
573	383	16
574	575	24
575	24	1
577	1153	48
578	577	24
579	385	16
580	289	12
581	152071153975	6308974548
582	193	8
583	8429543	349116
584	145	6
585	33281	1376
586	33867877212256207699	1399069112058008310
587	1907162	78717
588	97	4
589	41423166067036218751	1706811823063746000
590	5781	238
591	165676	6815
592	73	3
593	721517598849	29629176560
594	1098305	45064
595	18514	759
596	25801741449	1056880510
