N=2: H=1 D=3  per-histogram multiset=[(3, 1)]
N=3: H=1 D=9  per-histogram multiset=[(9, 1)]
N=4: H=2 D=30  per-histogram multiset=[(3, 1), (27, 1)]
N=5: H=3 D=99  per-histogram multiset=[(9, 2), (81, 1)]
N=6: H=5 D=336  per-histogram multiset=[(12, 1), (27, 3), (243, 1)]
N=7: H=8 D=1134  per-histogram multiset=[(9, 1), (36, 2), (81, 4), (729, 1)]
N=8: H=13 D=3855  per-histogram multiset=[(27, 3), (48, 1), (108, 3), (243, 5), (2187, 1)]
N=9: H=22 D=13086  per-histogram multiset=[(9, 1), (36, 2), (81, 6), (144, 2), (324, 4), (729, 6), (6561, 1)]
N=10: H=36 D=44499  per-histogram multiset=[(27, 3), (108, 6), (192, 1), (243, 10), (432, 3), (972, 5), (2187, 7), (19683, 1)]
N=11: H=60 D=151263  per-histogram multiset=[(36, 2), (81, 7), (144, 3), (324, 12), (576, 2), (729, 15), (1296, 4), (2916, 6), (6561, 8), (59049, 1)]
N=12: H=100 D=514419  per-histogram multiset=[(27, 2), (30, 1), (108, 7), (243, 14), (432, 9), (768, 1), (972, 20), (1728, 3), (2187, 21), (3888, 5), (8748, 7), (19683, 9), (177147, 1)]
